No,Name,Status,Priority,Labels,Assignee Email,Start Date,Duration ,Due Date,Notes,Blocked By (Dependencies),Blocking (Dependencies)
3.0,Phase 1 : Initiation - Games,,,,,11-24-25,,11-24-25,,,
3.1,Amusnet,Backlog,Urgent,Games,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,"this is to be activated only on the day of Go-live
Invoicing Note: invoicing only starts when we send a request to egt to activate amusnet ",,
3.2,Hub88,Backlog,Urgent,Games,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,"can be activated but we need to ensure the GGR Cap is on
Invoicing Note: invoicing only starts when we request the GGR cap to be removed ",,Games Testing 
3.20.1,Inform Hub88 of the new operator on the HUBB slack group ,Backlog,Urgent,Games,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,,,
3.20.2,provide the URL in the operator thread with HUB88 ,Backlog,Urgent,Games,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,,,
3.1,EGTD Games ,Backlog,Urgent,Games,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,"raise a ticket for activation to EGT 
Invoicing Note: invoicing only starts when there is traffic ",,Games Testing 
3.10.1,Raise a ticket for Activation with EGT ,Backlog,Urgent,Games,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,,,
4.0,Phase 1 : Initiation - Additional Integrations,,,,,12-01-25,4,12-05-25,,,
4.1,Mailgun ,Backlog,Urgent,Additional Integrations,asanka.h@nexus-solutions.io,12-01-25,15,12-16-25,"the operator should purchase  two additional domains, one for marketing and another for system messages. ",Onboarding Meetings ,
4.10.1,Confirm recipient of the domains and emails ,Backlog,Urgent,Additional Integrations,asanka.h@nexus-solutions.io,12-01-25,4,12-05-25,,,
4.10.2,Setup Nameservers,Backlog,High,Additional Integrations,asanka.h@nexus-solutions.io,12-01-25,,12-01-25,https://docs.google.com/document/d/1VpAi9YvDPuMA3IYnpCy43Pe9jgVas1brE0cSFJKAEws/edit?usp=sharing ,,
4.10.3,Create Mailgun subaccount under our main account ,Backlog,Urgent,Additional Integrations,asanka.h@nexus-solutions.io,12-01-25,4,12-05-25,"Process manual: https://docs.google.com/document/d/1w_pfGFYW7cpGl7UUdS7axz9DO3j9WhWfiqZbyB8O7O8/edit?tab=t.0

webhook list to be created 
    Delivered Messages
    Opens
    Clicks
    Spam Complaints
    Permanent Failure
    Temporary Failure
    Unsubscribes",,
4.10.4,Send the API keys and Screenshots to EGT  ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-01-25,4,12-05-25,,,
4.10.5,Information to be provided to EGT ,Backlog,Urgent,Additional Integrations,asanka.h@nexus-solutions.io,12-01-25,4,12-05-25,"Sender email: 
Sender Name: 
Sending API key: 
Key ID:
HTTP webhook signing key :",,
4.10.6,Screenshots ,Backlog,Urgent,Additional Integrations,asanka.h@nexus-solutions.io,12-01-25,4,12-05-25,,,
4.10.7,Raise a ticket to EGT for tracking purposes ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-01-25,4,12-05-25,,,
4.10.8,test mailgun it in BO ,Backlog,Urgent,Additional Integrations,yhlas.g@veritas-technology.io,12-15-25,1,12-16-25,,,
4.2,Comm100/ Live chat ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,11-24-25,16,12-10-25,,Onboarding Meetings ,
4.20.1,Confirm which Live chat option the client wants to proceed with ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
4.20.2,receive the Integration Code ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
4.20.3,Raise a ticket for activation request to EGT with the code ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
4.20.4,test the functionality of Live chat ,Backlog,Urgent,Additional Integrations,muteeb.m@veritas-technology.io,12-08-25,2,12-10-25,,,
4.20.5,"inform the operator to change color, location and test it ",Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,12-08-25,2,12-10-25,,,
4.3,Sempico ,Backlog,Urgent,Additional Integrations,cian.m@nexus-solutions.io,12-01-25,,12-23-25,"the following pricing shall be considered:
    OTP : 0.003
    Promo: 0.008
",Onboarding Document ,
4.30.1,Create the Account for OTP and Promo ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-01-25,4,12-05-25,,,
4.30.2,Reach out to Sempico for API keys ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-01-25,4,12-05-25,"Send the following message on the group 

Hello, 
 
We have created 2 new channels under our master account for a new operator. 
 
promo username 
OTP username
 
Can you provide the relevant information so we can pass to EGT?
Thanks",,
4.30.3,Raise a ticket to EGT ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-01-25,14,12-15-25,"raise a ticket to EGT:
Title: SMS activation for [Client name]
Contents: copy paste the message forwarded from sempico, edit the passwords with the ones saved in onepassword ",,
4.30.4,top-up Sempico account ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-15-25,4,12-19-25,,,
4.30.5,Test SMS ,Backlog,Urgent,Additional Integrations,yhlas.g@veritas-technology.io,12-19-25,4,12-23-25,,,
4.4,Google Analytics ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,11-24-25,32,12-26-25,,Onboarding Meetings ,
4.40.1,ask the operator to create their free account ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
4.40.2,ask operator to provide admin access to alparslan@veritas-technology.io,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,12-01-25,4,12-05-25,,,
4.40.3,share the code with EGT for activation ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,12-01-25,4,12-05-25,,,
4.40.4,To be requested on the day of go-live ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-05-25,21,12-26-25,,,
4.5,Myaffiliates ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,11-24-25,15,12-09-25,,Onboarding Document ,
4.50.1,Share the records to be added by the operator ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
4.50.2,fill Myaffiliates form ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
4.50.3,Send Myaffiliates form with EGT ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,12-01-25,4,12-05-25,,,
4.50.4,Confirm Calculations with EGT ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,12-05-25,4,12-09-25,,,
4.6,Hotjar ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,12-01-25,,12-26-25,,Onboarding Meetings ,
4.60.1,share the code with EGT ,Backlog,Urgent,Additional Integrations,remzi@veritas-technology.io,12-01-25,4,12-05-25,,,
4.60.2,To be requested on the day of go-live ,Backlog,Urgent,Additional Integrations,haya.a@nexus-solutions.io,12-05-25,21,12-26-25,,,
4.7,Tableau ,Backlog,Urgent,Additional Integrations,alparslan@veritas-technology.io,12-01-25,21,12-22-25,"a ticket has been raised to activate this in the environment, this task  is to test that integration ",Onboarding Meetings ,
4.8,VPN ,Backlog,High,Additional Integrations,haya.a@nexus-solutions.io,12-01-25,5,12-06-25,,Onboarding Meetings ,
4.80.1,Get the information from provider,Backlog,High,Additional Integrations,haya.a@nexus-solutions.io,11-24-25,,11-24-25,"Get to know how many users, whether users are connecting from a single place such as an office or from multiple locations, what are the locations (Nearest popular capital)
Share the terms and condition document with the operator",,
4.80.2,Server Procurement,Backlog,High,Additional Integrations,asanka.h@nexus-solutions.io,11-24-25,,11-24-25,"Setup a bitlaunch account using operator@veritas-technology.io account
Inform the monthly cost on veritas-finance Slack channel
get Finance to top up the account for 2 months funds",,
4.80.3,Server Setup,Backlog,High,Additional Integrations,asanka.h@nexus-solutions.io,11-24-25,,11-24-25,"Setup the server, update, upgrade, install wireguard. setup Docker, NPM",,
4.80.4,"Peer creation, Sharing, and setup guide",Backlog,Medium,Additional Integrations,asanka.h@nexus-solutions.io,11-24-25,,11-24-25,"Create the no. of peers operator requested,
Share the links with operator,
Share the guide on how to install wireguard and use the config panel",,
5.0,Phase 2: Setup - CRM,,High,,,11-24-25,,11-24-25,,,
5.1,Finalize all the asset required from the operator ,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,"Campaigns Creation ,Gamification Creation ,Email Template"
5.10.1,Onboarding Document ,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.2,Campaign selection (Surprise box or Wheelspin),Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.3,Bonus requirement document for all the campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.4,Cashback Campaign conditions,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.5,Visuals for campaigns,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.6,T&C for the campaigns,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.7,Registration campaign / deposit campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.8,Registration campaign / deposit campaign Visuals,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.9,Registration campaign / deposit campaign T&C,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10000000,Birthday campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.11,Acca Boost & Acca Insurance ,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,11-28-25,,,
5.10.12,FS campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,11-24-25,4,,,,
5.2,Gamification Creation ,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,Finalize all the asset required from the operator ,
5.20.1,Create bonus 12 or 4,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.2,Create campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.3,Create Sub campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.4,Fill Bonus T&C and my offer informations,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.5,Fill campaign details and visuals ,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.6,Add Campaign T&C,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.7,Edit messages on gamification template on FE,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.20.8,Test if it is working as expected,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.3,Campaigns Creation ,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,Finalize all the asset required from the operator ,
5.30.1,Create campaign,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.30.2,Create Bonus,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.30.3,Update T&C,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.30.4,Upload visuals,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.30.5,Test as expected,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.4,Email Template,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,Finalize all the asset required from the operator ,
5.40.1,Marketing email template,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.40.2,Deposit approved,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.40.3,Deposit rejected,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.40.4,Withdrawal approved,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.40.5,Withdrawal rejected,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.40.6,PSP email Template ,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.5,SMS Template,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.50.1,Marketing SMS,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.50.2,PSP SMS,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.6,Inbox Template,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.60.1,Inbox for PSP,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.60.2,Inbox for Marketing,Backlog,High,CRM,simeone.m@veritas-technology.io,12-01-25,11,12-12-25,,,
5.7,CRM: Go-Live check list,Backlog,High,CRM,simeone.m@veritas-technology.io,12-12-25,0,12-12-25,,,
6.0,Phase 2: Setup - CMS,,High,,,11-24-25,,11-24-25,,,
6.1,Finalize all the asset required from the operator ,Backlog,High,CMS,muteeb.m@veritas-technology.io,11-24-25,4,11-28-25,"After the meetings with the operator, we need to finalize a list of requirements which we need from the operator. 
The assets will be mentioned in the document, e.g. Logos, color palette, banners, social media links etc [ Brand Book ].

Make sure the necessary tickets are raised with EGT if needed.",Onboarding Meetings ,"CMS Build,Configurator Changes,Create Email Template & inform CRM Team to test it,Basic Training "
6.10.1,Brand Book ,Backlog,High,CMS,muteeb.m@veritas-technology.io,11-24-25,4,11-28-25,,,
6.10.2,Onboarding Doc,Backlog,High,CMS,muteeb.m@veritas-technology.io,11-24-25,4,11-28-25,,,
6.10.3,Dimensions Doc,Backlog,High,CMS,muteeb.m@veritas-technology.io,11-24-25,4,11-28-25,,,
6.10.4,CMS Build Requirements (Finalized by Operator during the meeting),Backlog,High,CMS,muteeb.m@veritas-technology.io,11-24-25,4,11-28-25,,,
6.2,CMS Build,Backlog,High,CMS,muteeb.m@veritas-technology.io,12-01-25,11,12-12-25,"Set-up list : https://docs.google.com/document/d/1zWQm35HxV7oJ85FOJLNERAMlqPINIdM3/edit
This is a list of all build related elements from start to finish.",Finalize all the asset required from the operator ,
6.20.1,Core Site Sections,Backlog,High,CMS,muteeb.m@veritas-technology.io,12-01-25,11,12-12-25,,,
6.20.1.1,Landing Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.2,Casino Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.3,Live Casino Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.4,Crash Games Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.5,Sport Page (Optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.6,In-Play Page (Optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.7,E-Sports Page (Optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.8,Promotions Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.1.9,Footer Section,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2,Landing Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.1,Looping banners or a single banner,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
0.0.2.2,Tab containers for quick navigation,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.3,Jackpot widget container,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.4,Popular casino games section,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.5,Providers showcase,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.6,Popular live casino section,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.7,Popular crash games section,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.8,Big winners or latest winners display,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.2.9,Ranking module (customizable),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3,Casino Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.1,Looping banners or a single banner (Optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.2,Game Categories,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.3,Providers list,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.4,Jackpot Counter,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.5,Popular Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.6,Top Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.7,Bonus Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.8,VIP Bell Link Games (jackpot counter optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.3.9,New Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.10,Clover Chance Jackpot Games (jackpot counter optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.11,Fruit Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.12,Jackpot Cards Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.13,Bell Link Jackpot Games (jackpot counter optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.14,High Cash Jackpot Games (jackpot counter optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.15,Pragmatic 1000x Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.16,Megaways Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.2.3.17,Jackpot Cards,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4,Live Casino Page,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.1,Looping banners or a single banner (Optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.2,Game Categories,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.3,Providers list,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.4,Amusnet Live Casino (jackpot counter optional),Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
6.20.4.5,Top Games,Backlog,High,CMS,muteeb.m@veritas-technology.io,09-29-25,11,10-10-25,,,
